                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1754,                 1.0172,                 1.4856,                0.82885,                0.62805,                 0.7701,                0.50244,                  1.364,                  1.253,                 1.8481,               0.006535,               0.006535,               0.006535
                     37,                  1.198,                 1.0247,                 1.5294,                0.72756,                0.68598,                0.72498,                0.42304,                  1.673,                 1.5128,                 2.1311,               0.006436,               0.006436,               0.006436
                     38,                 1.1988,                 1.0223,                 1.5156,                0.77356,                0.70427,                0.78052,                0.47908,                 1.5156,                 1.3492,                 1.9907,               0.006337,               0.006337,               0.006337
                     39,                 1.2049,                 1.0163,                 1.5062,                0.81434,                0.71646,                0.79534,                0.52588,                 1.4189,                 1.2095,                 1.9451,               0.006238,               0.006238,               0.006238
                     40,                 1.1896,                 1.0321,                 1.5219,                0.68336,                 0.5856,                0.65546,                0.38849,                 1.6335,                 1.6645,                 2.0425,               0.006139,               0.006139,               0.006139
                     41,                 1.2143,                 1.0405,                 1.5343,                0.80533,                0.73171,                0.81496,                0.54463,                 1.3278,                  1.184,                 1.8002,                0.00604,                0.00604,                0.00604
                     42,                 1.1286,                0.98278,                 1.4816,                0.90293,                0.71951,                0.83668,                0.57016,                 1.3042,                 1.1495,                 1.7768,               0.005941,               0.005941,               0.005941
                     43,                 1.1746,                 1.0331,                 1.5084,                0.63316,                0.71951,                 0.7128,                0.44441,                  1.468,                 1.4459,                 1.9739,               0.005842,               0.005842,               0.005842
                     44,                 1.1546,                 1.0066,                 1.4784,                0.84381,                0.77413,                0.84245,                0.54997,                 1.3793,                 1.1626,                 1.8634,               0.005743,               0.005743,               0.005743
                     45,                 1.1588,                0.98791,                 1.4759,                0.86907,                0.73171,                0.80969,                 0.5126,                 1.4352,                 1.1693,                 1.9326,               0.005644,               0.005644,               0.005644
                     46,                 1.1453,                 0.9801,                 1.4836,                0.83587,                0.74528,                0.80753,                0.52239,                 1.3795,                 1.2741,                 1.8566,               0.005545,               0.005545,               0.005545
                     47,                 1.1604,                0.99558,                 1.4945,                0.54414,                0.57864,                0.57837,                0.28071,                 1.9253,                    nan,                 2.4471,               0.005446,               0.005446,               0.005446
                     48,                 1.1307,                0.95781,                 1.4617,                0.80633,                0.78697,                0.83364,                 0.5628,                 1.2952,                 1.1375,                  1.767,               0.005347,               0.005347,               0.005347
                     49,                 1.1076,                0.96168,                 1.4544,                0.76163,                0.60671,                0.71003,                0.45476,                 1.5266,                 1.3108,                 1.9012,               0.005248,               0.005248,               0.005248
                     50,                 1.1366,                0.97905,                 1.4991,                 0.7942,                0.76474,                0.81805,                0.54342,                 1.2822,                 1.2098,                 1.7369,               0.005149,               0.005149,               0.005149
                     51,                 1.1384,                0.96667,                 1.4683,                0.65955,                0.66742,                0.66259,                 0.3497,                 1.7871,                 1.6147,                 2.3421,                0.00505,                0.00505,                0.00505
                     52,                 1.1186,                0.92572,                 1.4461,                0.82249,                0.75915,                0.83429,                0.56915,                 1.2454,                 1.1374,                 1.7247,               0.004951,               0.004951,               0.004951
